# Метеостанция Нижний Новгород / Нагорный, Россия, WMO_ID=27562, выборка с 16.06.2017 по 16.06.2018, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru 
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=27562&lang=ru
#
"Местное время в Нижнем Новгороде / Нагорном";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"13.06.2018 09:00";"15.3";"735.9";"747.4";"";"89";"Ветер, дующий с западо-юго-запада";"6";"9";"10";"";" ";"";"";"13.3";"";"";"";"";"";"";"";"13.5";"";"";"";"";"";"";
"13.06.2018 06:00";"13.5";"736.3";"747.9";"";"89";"Ветер, дующий с западо-юго-запада";"6";"10";"14";"";" ";"";"";"13.6";"";"";"";"";"";"";"";"11.7";"0.8";"12";"";"";"";"";
"13.06.2018 03:00";"14.8";"736.6";"748.1";"";"78";"Ветер, дующий с юго-запада";"8";"14";"14";"";" ";"";"";"";"";"";"";"";"";"";"";"10.9";"";"";"";"";"";"";
"13.06.2018 00:00";"16.9";"737.2";"748.6";"";"62";"Ветер, дующий с юго-запада";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.5";"";"";"";"";"";"";
"12.06.2018 21:00";"18.4";"738.7";"750.2";"";"65";"Ветер, дующий с юго-запада";"4";"5";"8";"";" ";"";"";"";"";"";"";"";"";"";"";"11.7";"";"";"";"";"";"";
"12.06.2018 18:00";"18.8";"739.9";"751.3";"";"66";"Ветер, дующий с юга";"3";"6";"6";"";" ";"";"";"";"18.8";"";"";"";"";"";"";"12.2";"0.8";"12";"";"";"";"";
"12.06.2018 15:00";"16.7";"741.6";"753.2";"";"65";"Ветер, дующий с юго-запада";"4";"6";"8";"";" ";"";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";
"12.06.2018 12:00";"14.1";"742.4";"754.1";"";"84";"Ветер, дующий с юго-юго-запада";"3";"4";"9";"";" ";"";"";"";"";"";"";"";"";"";"";"11.4";"";"";"";"";"";"";
"12.06.2018 09:00";"14.1";"742.7";"754.4";"";"74";"Ветер, дующий с западо-юго-запада";"5";"8";"9";"";" ";"";"";"";"";"";"";"";"";"";"";"9.4";"";"";"";"";"";"";
"12.06.2018 06:00";"12.1";"743.4";"755.2";"";"68";"Ветер, дующий с юго-запада";"4";"7";"9";"";" ";"";"";"9.8";"";"";"";"";"";"";"";"6.4";"Осадков нет";"12";"";"";"";"";
"12.06.2018 03:00";"11.1";"744.4";"756.2";"";"62";"Ветер, дующий с западо-юго-запада";"3";"5";"6";"";" ";"";"";"";"";"";"";"";"";"";"";"4.1";"";"";"";"";"";"";
"12.06.2018 00:00";"10.1";"745.1";"757.0";"";"63";"Ветер, дующий с западо-юго-запада";"4";"5";"5";"";" ";"";"";"";"";"";"";"";"";"";"";"3.2";"";"";"";"";"";"";
"11.06.2018 21:00";"12.6";"745.5";"757.3";"";"50";"Ветер, дующий с юго-запада";"3";"4";"5";"";" ";"";"";"";"";"";"";"";"";"";"";"2.5";"";"";"";"";"";"";
"11.06.2018 18:00";"15.4";"745.9";"757.6";"";"36";"Ветер, дующий с запада";"2";"4";"6";"";" ";"";"";"";"17.3";"";"";"";"";"";"";"0.5";"Осадков нет";"12";"";"";"";"";
"11.06.2018 15:00";"15.1";"746.2";"757.9";"";"37";"Ветер, дующий с юго-юго-востока";"1";"4";"6";"";" ";"";"";"";"";"";"";"";"";"";"";"0.4";"";"";"";"";"";"";
"11.06.2018 12:00";"13.9";"746.6";"758.5";"";"46";"Ветер, дующий с юго-юго-запада";"3";"6";"7";"";" ";"";"";"";"";"";"";"";"";"";"";"2.3";"";"";"";"";"";"";
"11.06.2018 09:00";"13.2";"746.9";"758.8";"";"49";"Ветер, дующий с юго-запада";"2";"5";"5";"";" ";"";"";"";"";"";"";"";"";"";"";"2.5";"";"";"";"";"";"";
"11.06.2018 06:00";"7.4";"746.7";"758.8";"";"84";"Ветер, дующий с запада";"1";"1";"3";"";" ";"";"";"5.0";"";"";"";"";"";"";"";"4.9";"Осадков нет";"12";"";"";"";"";
"11.06.2018 03:00";"5.8";"746.0";"758.2";"";"85";"Ветер, дующий с северо-запада";"2";"3";"4";"";" ";"";"";"";"";"";"";"";"";"";"";"3.5";"";"";"";"";"";"";
"11.06.2018 00:00";"6.9";"745.8";"757.9";"";"78";"Ветер, дующий с северо-запада";"2";"4";"5";"";" ";"";"";"";"";"";"";"";"";"";"";"3.2";"";"";"";"";"";"";
"10.06.2018 21:00";"8.1";"745.6";"757.7";"";"68";"Ветер, дующий с северо-запада";"2";"4";"6";"";" ";"";"";"";"";"";"";"";"";"";"";"2.5";"";"";"";"";"";"";
"10.06.2018 18:00";"11.7";"745.3";"757.1";"";"53";"Ветер, дующий с северо-запада";"3";"6";"11";"";" ";"";"";"";"13.2";"";"";"";"";"";"";"2.3";"0.5";"12";"";"";"";"";
"10.06.2018 15:00";"12.4";"744.9";"756.7";"";"45";"Ветер, дующий с северо-северо-запада";"5";"10";"10";"";" ";"";"";"";"";"";"";"";"";"";"";"0.6";"";"";"";"";"";"";
"10.06.2018 12:00";"8.7";"745.5";"757.5";"";"74";"Ветер, дующий с запада";"3";"5";"10";"";" ";"";"";"";"";"";"";"";"";"";"";"4.2";"";"";"";"";"";"";
"10.06.2018 09:00";"10.1";"745.7";"757.6";"";"64";"Ветер, дующий с запада";"3";"5";"6";"";" ";"";"";"";"";"";"";"";"";"";"";"3.6";"";"";"";"";"";"";
"10.06.2018 06:00";"7.1";"745.9";"757.9";"";"77";"Ветер, дующий с западо-северо-запада";"3";"5";"5";"";" ";"";"";"4.2";"";"";"";"";"";"";"";"3.3";"Осадков нет";"12";"";"";"";"";
"10.06.2018 03:00";"4.6";"745.6";"757.9";"";"83";"Ветер, дующий с западо-северо-запада";"3";"4";"6";"";" ";"";"";"";"";"";"";"";"";"";"";"1.9";"";"";"";"";"";"";
"10.06.2018 00:00";"7.4";"745.6";"757.7";"";"70";"Ветер, дующий с западо-северо-запада";"3";"5";"9";"";" ";"";"";"";"";"";"";"";"";"";"";"2.3";"";"";"";"";"";"";
"09.06.2018 21:00";"9.1";"745.6";"757.6";"";"61";"Ветер, дующий с северо-запада";"1";"2";"9";"";" ";"";"";"";"";"";"";"";"";"";"";"1.8";"";"";"";"";"";"";
"09.06.2018 18:00";"10.7";"745.4";"757.3";"";"53";"Ветер, дующий с северо-северо-запада";"3";"9";"12";"";" ";"";"";"";"13.2";"";"";"";"";"";"";"1.5";"Осадков нет";"12";"";"";"";"";
"09.06.2018 15:00";"10.9";"745.3";"757.2";"";"56";"Ветер, дующий с северо-запада";"6";"11";"13";"";" ";"";"";"";"";"";"";"";"";"";"";"2.3";"";"";"";"";"";"";
"09.06.2018 12:00";"12.1";"744.7";"756.6";"";"55";"Ветер, дующий с северо-запада";"5";"9";"12";"";" ";"";"";"";"";"";"";"";"";"";"";"3.2";"";"";"";"";"";"";
"09.06.2018 09:00";"10.7";"744.3";"756.1";"";"62";"Ветер, дующий с северо-запада";"4";"9";"10";"";" ";"";"";"";"";"";"";"";"";"";"";"3.6";"";"";"";"";"";"";
"09.06.2018 06:00";"6.6";"743.5";"755.6";"";"83";"Ветер, дующий с западо-северо-запада";"3";"7";"7";"";" ";"";"";"5.1";"";"";"";"";"";"";"";"3.8";"0.5";"12";"";"";"";"";
"09.06.2018 03:00";"5.5";"742.8";"754.9";"";"87";"Ветер, дующий с северо-запада";"3";"5";"8";"";" ";"";"";"";"";"";"";"";"";"";"";"3.4";"";"";"";"";"";"";
"09.06.2018 00:00";"8.0";"742.4";"754.4";"";"79";"Ветер, дующий с западо-северо-запада";"4";"7";"7";"";" ";"";"";"";"";"";"";"";"";"";"";"4.5";"";"";"";"";"";"";
"08.06.2018 21:00";"10.0";"742.5";"754.4";"";"86";"Ветер, дующий с запада";"1";"3";"9";"";" ";"";"";"";"";"";"";"";"";"";"";"7.8";"";"";"";"";"";"";
"08.06.2018 18:00";"10.7";"742.3";"754.2";"";"87";"Ветер, дующий с запада";"4";"6";"12";"";" ";"";"";"";"15.6";"";"";"";"";"";"";"8.6";"2.0";"12";"";"";"";"";
"08.06.2018 15:00";"12.5";"743.3";"755.1";"";"76";"Ветер, дующий с западо-юго-запада";"6";"9";"15";"";" ";"";"";"";"";"";"";"";"";"";"";"8.4";"";"";"";"";"";"";
"08.06.2018 12:00";"14.5";"744.7";"756.4";"";"49";"Ветер, дующий с западо-юго-запада";"9";"15";"16";"";" ";"";"";"";"";"";"";"";"";"";"";"3.7";"";"";"";"";"";"";
"08.06.2018 09:00";"14.3";"746.2";"758.0";"";"53";"Ветер, дующий с западо-юго-запада";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.9";"";"";"";"";"";"";
"08.06.2018 06:00";"8.5";"748.0";"760.1";"";"68";"Ветер, дующий с западо-юго-запада";"6";"8";"9";"";" ";"";"";"6.6";"";"";"";"";"";"";"";"2.9";"Осадков нет";"12";"";"";"";"";
"08.06.2018 03:00";"7.3";"749.2";"761.3";"";"69";"Ветер, дующий с запада";"5";"8";"8";"";" ";"";"";"";"";"";"";"";"";"";"";"2.0";"";"";"";"";"";"";
"08.06.2018 00:00";"7.4";"750.1";"762.3";"";"67";"Ветер, дующий с запада";"5";"7";"7";"";" ";"";"";"";"";"";"";"";"";"";"";"1.6";"";"";"";"";"";"";
"07.06.2018 21:00";"8.4";"750.7";"762.9";"";"72";"Ветер, дующий с запада";"2";"4";"6";"";" ";"";"";"";"";"";"";"";"";"";"";"3.6";"";"";"";"";"";"";
"07.06.2018 18:00";"10.5";"750.5";"762.5";"";"60";"Ветер, дующий с западо-юго-запада";"3";"5";"10";"";" ";"";"";"";"15.5";"";"";"";"";"";"";"2.9";"10.0";"12";"";"";"";"";
"07.06.2018 15:00";"12.5";"750.2";"762.1";"";"52";"Ветер, дующий с западо-северо-запада";"6";"9";"12";"";" ";"";"";"";"";"";"";"";"";"";"";"2.9";"";"";"";"";"";"";
"07.06.2018 12:00";"13.4";"749.8";"761.7";"";"54";"Ветер, дующий с западо-юго-запада";"4";"7";"10";"";" ";"";"";"";"";"";"";"";"";"";"";"4.3";"";"";"";"";"";"";
"07.06.2018 09:00";"12.2";"749.7";"761.7";"";"48";"Ветер, дующий с западо-юго-запада";"4";"7";"8";"";" ";"";"";"";"";"";"";"";"";"";"";"1.4";"";"";"";"";"";"";
"07.06.2018 06:00";"6.7";"749.0";"761.2";"";"70";"Ветер, дующий с западо-северо-запада";"2";"4";"5";"";" ";"";"";"4.0";"";"";"";"";"";"";"";"1.5";"0.3";"12";"";"";"";"";
"07.06.2018 03:00";"4.2";"747.8";"760.1";"";"80";"Ветер, дующий с западо-северо-запада";"3";"4";"6";"";" ";"";"";"";"";"";"";"";"";"";"";"1.1";"";"";"";"";"";"";
"07.06.2018 00:00";"6.1";"746.3";"758.5";"";"77";"Ветер, дующий с западо-северо-запада";"3";"5";"6";"";" ";"";"";"";"";"";"";"";"";"";"";"2.4";"";"";"";"";"";"";
"06.06.2018 21:00";"7.5";"744.8";"756.9";"";"81";"Ветер, дующий с западо-северо-запада";"3";"6";"10";"";" ";"";"";"";"";"";"";"";"";"";"";"4.4";"";"";"";"";"";"";
"06.06.2018 18:00";"9.5";"742.8";"754.7";"";"67";"Ветер, дующий с северо-северо-запада";"4";"7";"9";"";" ";"";"";"";"13.3";"";"";"";"";"";"";"3.7";"Осадков нет";"12";"";"";"";"";
"06.06.2018 15:00";"10.9";"741.4";"753.2";"";"69";"Ветер, дующий с северо-запада";"4";"8";"11";"";" ";"";"";"";"";"";"";"";"";"";"";"5.3";"";"";"";"";"";"";
"06.06.2018 12:00";"12.1";"739.9";"751.7";"";"60";"Ветер, дующий с запада";"3";"6";"9";"";" ";"";"";"";"";"";"";"";"";"";"";"4.6";"";"";"";"";"";"";
"06.06.2018 09:00";"10.2";"738.6";"750.4";"";"73";"Ветер, дующий с западо-юго-запада";"6";"8";"8";"";" ";"";"";"";"";"";"";"";"";"";"";"5.5";"";"";"";"";"";"";
"06.06.2018 06:00";"7.9";"737.3";"749.2";"";"80";"Ветер, дующий с западо-юго-запада";"3";"4";"6";"";" ";"";"";"5.1";"";"";"";"";"";"";"";"4.7";"Осадков нет";"12";"";"";"";"";
"06.06.2018 03:00";"5.1";"736.0";"748.0";"";"88";"Ветер, дующий с запада";"3";"5";"6";"";" ";"";"";"";"";"";"";"";"";"";"";"3.3";"";"";"";"";"";"";
"06.06.2018 00:00";"6.4";"734.5";"746.4";"";"81";"Ветер, дующий с западо-юго-запада";"4";"5";"6";"";" ";"";"";"";"";"";"";"";"";"";"";"3.3";"";"";"";"";"";"";
"05.06.2018 21:00";"9.3";"733.6";"745.4";"";"69";"Ветер, дующий с запада";"4";"6";"9";"";" ";"";"";"";"";"";"";"";"";"";"";"3.9";"";"";"";"";"";"";
"05.06.2018 18:00";"12.2";"732.1";"743.8";"";"77";"Ветер, дующий с запада";"2";"5";"7";"";" ";"";"";"";"16.9";"";"";"";"";"";"";"8.2";"2.0";"12";"";"";"";"";
"05.06.2018 15:00";"12.5";"731.0";"742.6";"";"81";"Ветер, дующий с западо-юго-запада";"2";"3";"6";"";" ";"";"";"";"";"";"";"";"";"";"";"9.3";"";"";"";"";"";"";
"05.06.2018 12:00";"12.7";"730.3";"741.8";"";"86";"Ветер, дующий с запада";"3";"6";"12";"";" ";"";"";"";"";"";"";"";"";"";"";"10.4";"";"";"";"";"";"";
"05.06.2018 09:00";"15.6";"729.9";"741.3";"";"78";"Ветер, дующий с западо-юго-запада";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.8";"";"";"";"";"";"";
"05.06.2018 06:00";"15.9";"729.8";"741.2";"";"69";"Ветер, дующий с западо-юго-запада";"7";"11";"11";"";" ";"";"";"15.1";"";"";"";"";"";"";"";"10.2";"Осадков нет";"12";"";"";"";"";
"05.06.2018 03:00";"16.3";"730.6";"742.0";"";"65";"Ветер, дующий с запада";"4";"6";"10";"";" ";"";"";"";"";"";"";"";"";"";"";"9.6";"";"";"";"";"";"";
"05.06.2018 00:00";"16.3";"731.8";"743.2";"";"61";"Ветер, дующий с западо-юго-запада";"4";"6";"7";"";" ";"";"";"";"";"";"";"";"";"";"";"8.6";"";"";"";"";"";"";
"04.06.2018 21:00";"17.8";"733.0";"744.4";"";"57";"Ветер, дующий с западо-юго-запада";"4";"6";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.1";"";"";"";"";"";"";
"04.06.2018 18:00";"21.6";"733.6";"744.9";"";"40";"Ветер, дующий с запада";"6";"12";"";"";" ";"";"";"";"22.7";"";"";"";"";"";"";"7.2";"Осадков нет";"12";"";"";"";"";
"04.06.2018 15:00";"21.9";"734.3";"745.6";"";"41";"Ветер, дующий с запада";"7";"12";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.1";"";"";"";"";"";"";
"04.06.2018 12:00";"20.9";"735.1";"746.5";"";"60";"Ветер, дующий с запада";"7";"11";"11";"";" ";"";"";"";"";"";"";"";"";"";"";"12.9";"";"";"";"";"";"";
"04.06.2018 09:00";"18.2";"735.7";"747.1";"";"70";"Ветер, дующий с запада";"5";"9";"9";"";" ";"";"";"";"";"";"";"";"";"";"";"12.7";"";"";"";"";"";"";
"02.06.2018 09:00";"8.0";"745.1";"757.2";"";"81";"Ветер, дующий с западо-юго-запада";"5";"8";"8";"";" ";"";"";"";"";"";"";"";"";"";"";"4.9";"";"";"";"";"";"";
"02.06.2018 06:00";"5.3";"747.3";"759.4";"";"73";"Ветер, дующий с западо-юго-запада";"4";"6";"7";"";" ";"";"";"2.7";"";"";"";"";"";"";"";"0.7";"Осадков нет";"12";"";"";"";"";
"02.06.2018 03:00";"2.8";"748.2";"760.5";"";"76";"Ветер, дующий с запада";"2";"4";"5";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.0";"";"";"";"";"";"";
"02.06.2018 00:00";"5.2";"748.8";"761.0";"";"65";"Ветер, дующий с западо-северо-запада";"2";"3";"5";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.0";"";"";"";"";"";"";
"01.06.2018 21:00";"6.3";"749.1";"761.3";"";"57";"Ветер, дующий с северо-запада";"2";"3";"9";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.7";"";"";"";"";"";"";
"01.06.2018 18:00";"7.9";"749.0";"761.2";"";"46";"Ветер, дующий с северо-запада";"4";"9";"10";"";" ";"";"";"";"8.1";"";"";"";"";"";"";"-3.2";"Осадков нет";"12";"";"";"";"";
"01.06.2018 15:00";"7.5";"749.4";"761.5";"";"47";"Ветер, дующий с северо-северо-запада";"4";"9";"11";"";" ";"";"";"";"";"";"";"";"";"";"";"-3.2";"";"";"";"";"";"";
"01.06.2018 12:00";"5.6";"749.6";"761.8";"";"54";"Ветер, дующий с северо-запада";"5";"9";"11";"";" ";"";"";"";"";"";"";"";"";"";"";"-3.0";"";"";"";"";"";"";
"01.06.2018 09:00";"5.3";"749.8";"762.0";"";"44";"Ветер, дующий с северо-северо-запада";"3";"7";"9";"";" ";"";"";"";"";"";"";"";"";"";"";"-6.2";"";"";"";"";"";"";
"01.06.2018 06:00";"2.8";"749.6";"762.0";"";"58";"Ветер, дующий с северо-запада";"3";"5";"7";"";" ";"";"";"1.3";"";"";"";"";"";"";"";"-4.8";"Осадков нет";"12";"";"";"";"";
"01.06.2018 03:00";"2.2";"749.5";"761.8";"";"58";"Ветер, дующий с северо-северо-запада";"4";"7";"8";"";" ";"";"";"";"";"";"";"";"";"";"";"-5.2";"";"";"";"";"";"";
"01.06.2018 00:00";"1.4";"749.4";"761.8";"";"64";"Ветер, дующий с северо-северо-запада";"3";"6";"9";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.8";"";"";"";"";"";"";
"31.05.2018 21:00";"3.4";"748.9";"761.2";"";"55";"Ветер, дующий с северо-северо-запада";"3";"7";"10";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.8";"";"";"";"";"";"";
"31.05.2018 18:00";"6.1";"747.4";"759.7";"";"49";"Ветер, дующий с севера";"5";"10";"10";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.0";"";"";"";"";"";"";
"31.05.2018 15:00";"6.9";"746.6";"758.7";"";"41";"Ветер, дующий с севера";"4";"8";"10";"";" ";"";"";"";"";"";"";"";"";"";"";"-5.7";"";"";"";"";"";"";
"31.05.2018 12:00";"8.0";"744.8";"756.8";"";"50";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.0";"";"";"";"";"";"";
"31.05.2018 09:00";"8.8";"742.8";"754.8";"";"64";"Ветер, дующий с северо-северо-запада";"3";"6";"10";"";" ";"";"";"6.3";"";"";"";"";"";"";"";"2.3";"";"";"";"";"";"";
"31.05.2018 06:00";"7.6";"742.3";"754.3";"";"79";"Ветер, дующий с северо-северо-запада";"3";"7";"7";"";" ";"";"";"";"";"";"";"";"";"";"";"4.2";"0.8";"12";"";"";"";"";
"31.05.2018 03:00";"6.6";"742.3";"754.3";"";"81";"Ветер, дующий с северо-запада";"2";"3";"7";"";" ";"";"";"";"";"";"";"";"";"";"";"3.6";"";"";"";"";"";"";
"31.05.2018 00:00";"8.7";"742.4";"754.3";"";"77";"Ветер, дующий с северо-запада";"2";"4";"11";"";" ";"";"";"";"";"";"";"";"";"";"";"4.9";"";"";"";"";"";"";
"30.05.2018 21:00";"12.0";"742.0";"753.7";"";"58";"Ветер, дующий с северо-северо-запада";"3";"6";"10";"";" ";"";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";
"30.05.2018 18:00";"15.0";"741.3";"752.9";"";"55";"Ветер, дующий с северо-северо-запада";"6";"11";"17";"";" ";"";"";"";"";"";"";"";"";"";"";"6.0";"";"";"";"";"";"";
"30.05.2018 15:00";"15.8";"739.9";"751.6";"";"62";"Ветер, дующий с северо-запада";"7";"";"18";"";" ";"";"";"";"";"";"";"";"";"";"";"8.5";"";"";"";"";"";"";
"30.05.2018 12:00";"20.3";"738.1";"749.5";"";"50";"Ветер, дующий с северо-запада";"4";"8";"17";"";" ";"";"";"";"";"";"";"";"";"";"";"9.5";"";"";"";"";"";"";
"30.05.2018 09:00";"19.5";"739.4";"750.8";"";"51";"Ветер, дующий с западо-юго-запада";"9";"14";"14";"";" ";"";"";"";"";"";"";"";"";"";"";"9.1";"";"";"";"";"";"";
"30.05.2018 06:00";"13.7";"742.9";"754.7";"";"64";"Ветер, дующий с западо-юго-запада";"6";"10";"10";"";" ";"";"";"10.4";"";"";"";"";"";"";"";"7.0";"Осадков нет";"12";"";"";"";"";
"30.05.2018 03:00";"10.5";"745.9";"757.9";"";"73";"Ветер, дующий с западо-юго-запада";"5";"7";"8";"";" ";"";"";"";"";"";"";"";"";"";"";"5.8";"";"";"";"";"";"";
"30.05.2018 00:00";"13.4";"748.7";"760.6";"";"62";"Ветер, дующий с западо-юго-запада";"5";"7";"7";"";" ";"";"";"";"";"";"";"";"";"";"";"6.1";"";"";"";"";"";"";
"29.05.2018 21:00";"15.9";"750.6";"762.4";"";"54";"Ветер, дующий с запада";"4";"6";"12";"";" ";"";"";"";"";"";"";"";"";"";"";"6.5";"";"";"";"";"";"";
"29.05.2018 18:00";"20.4";"752.0";"763.6";"";"35";"Ветер, дующий с западо-северо-запада";"5";"12";"12";"";" ";"";"";"";"21.1";"";"";"";"";"";"";"4.2";"Осадков нет";"12";"";"";"";"";
"29.05.2018 15:00";"19.1";"754.4";"766.1";"";"37";"Ветер, дующий с запада";"5";"10";"12";"";" ";"";"";"";"";"";"";"";"";"";"";"4.1";"";"";"";"";"";"";
"29.05.2018 12:00";"17.5";"756.5";"768.4";"";"39";"Ветер, дующий с запада";"5";"10";"11";"";" ";"";"";"";"";"";"";"";"";"";"";"3.3";"";"";"";"";"";"";
"29.05.2018 09:00";"15.3";"758.3";"770.2";"";"44";"Ветер, дующий с запада";"5";"8";"10";"";" ";"";"";"";"";"";"";"";"";"";"";"3.0";"";"";"";"";"";"";
